Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,5,0.01,0.61,0.3491599594880944
100% Corpus,5,0.01,0.9099999999999999,0.39388798287348453
100% Corpus,5,0.01,symmetric,0.2798369353319662
100% Corpus,5,0.31,0.01,0.342448575949148
100% Corpus,5,0.31,0.31,0.37007163015506717
100% Corpus,5,0.31,0.61,0.3405214050095804
100% Corpus,5,0.31,0.9099999999999999,0.3701090909570154
100% Corpus,5,0.31,symmetric,0.36964884842404455
100% Corpus,5,0.61,0.01,0.3614409734211097
100% Corpus,5,0.61,0.31,0.32584035018387675
100% Corpus,5,0.61,0.61,0.33169782527771485
100% Corpus,5,0.61,0.9099999999999999,0.4413264045565682
100% Corpus,5,0.61,symmetric,0.3593648898993133
100% Corpus,5,0.9099999999999999,0.01,0.36333546557840096
100% Corpus,5,0.9099999999999999,0.31,0.35237275258146283
100% Corpus,5,0.9099999999999999,0.61,0.37498103951030437
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.386689128038099
100% Corpus,5,0.9099999999999999,symmetric,0.34645523603554657
100% Corpus,5,symmetric,0.01,0.35979681909742317
100% Corpus,5,symmetric,0.31,0.34966927108385193
100% Corpus,5,symmetric,0.61,0.35224457187379354
100% Corpus,5,symmetric,0.9099999999999999,0.3706409532085706
100% Corpus,5,symmetric,symmetric,0.334449303549009
100% Corpus,5,asymmetric,0.01,0.3587750122107168
100% Corpus,5,asymmetric,0.31,0.3807910078573459
100% Corpus,5,asymmetric,0.61,0.5277663738657166
100% Corpus,5,asymmetric,0.9099999999999999,0.5319206365515535
100% Corpus,5,asymmetric,symmetric,0.3582366318167073
100% Corpus,6,0.01,0.01,0.34113819441210996
100% Corpus,6,0.01,0.31,0.3193120573933715
100% Corpus,6,0.01,0.61,0.3715617698861336
100% Corpus,6,0.01,0.9099999999999999,0.4101649818698048
100% Corpus,6,0.01,symmetric,0.3613014259259247
100% Corpus,6,0.31,0.01,0.32755816461791115
100% Corpus,6,0.31,0.31,0.3495537112801015
100% Corpus,6,0.31,0.61,0.41089103392434323
100% Corpus,6,0.31,0.9099999999999999,0.42111476900922856
100% Corpus,6,0.31,symmetric,0.3558352557608573
100% Corpus,6,0.61,0.01,0.3869585530370918
100% Corpus,6,0.61,0.31,0.3302012258130275
100% Corpus,6,0.61,0.61,0.3557948742702475
100% Corpus,6,0.61,0.9099999999999999,0.39754378248960376
100% Corpus,6,0.61,symmetric,0.3249209539513496
100% Corpus,6,0.9099999999999999,0.01,0.4050685674048185
100% Corpus,6,0.9099999999999999,0.31,0.347343362142226
100% Corpus,6,0.9099999999999999,0.61,0.3547753416252244
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.35964117875257484
100% Corpus,6,0.9099999999999999,symmetric,0.34699898874797336
100% Corpus,6,symmetric,0.01,0.361917373365007
100% Corpus,6,symmetric,0.31,0.3449455646033251
100% Corpus,6,symmetric,0.61,0.41264208536619557
100% Corpus,6,symmetric,0.9099999999999999,0.39019329574040706
100% Corpus,6,symmetric,symmetric,0.3584203775625874
100% Corpus,6,asymmetric,0.01,0.34043853726861534
100% Corpus,6,asymmetric,0.31,0.448129675172703
100% Corpus,6,asymmetric,0.61,0.4176716731660084
100% Corpus,6,asymmetric,0.9099999999999999,0.4114142064114687
100% Corpus,6,asymmetric,symmetric,0.4234433123619304
100% Corpus,7,0.01,0.01,0.37042915284515454
100% Corpus,7,0.01,0.31,0.34022531058900596
100% Corpus,7,0.01,0.61,0.3853578156007287
100% Corpus,7,0.01,0.9099999999999999,0.29487165584121805
100% Corpus,7,0.01,symmetric,0.34477375911924407
100% Corpus,7,0.31,0.01,0.37692086542915143
100% Corpus,7,0.31,0.31,0.38598587834057196
100% Corpus,7,0.31,0.61,0.39013873997195797
100% Corpus,7,0.31,0.9099999999999999,0.45500327429091586
100% Corpus,7,0.31,symmetric,0.3742032728669367
100% Corpus,7,0.61,0.01,0.39890318700048694
100% Corpus,7,0.61,0.31,0.38599894851579736
100% Corpus,7,0.61,0.61,0.3909125038879659
100% Corpus,7,0.61,0.9099999999999999,0.4131552341069439
100% Corpus,7,0.61,symmetric,0.3699567188502407
100% Corpus,7,0.9099999999999999,0.01,0.4406175008636968
100% Corpus,7,0.9099999999999999,0.31,0.38019460720898896
100% Corpus,7,0.9099999999999999,0.61,0.36138666325109003
100% Corpus,7,0.9099999999999999,0.9099999999999999,0.36437003119772265
100% Corpus,7,0.9099999999999999,symmetric,0.3818546907022478
100% Corpus,7,symmetric,0.01,0.34933586890956
100% Corpus,7,symmetric,0.31,0.36382599152538153
100% Corpus,7,symmetric,0.61,0.34974762496665784
100% Corpus,7,symmetric,0.9099999999999999,0.32492245148651777
100% Corpus,7,symmetric,symmetric,0.33820968285416203
100% Corpus,7,asymmetric,0.01,0.3323649987638792
100% Corpus,7,asymmetric,0.31,0.4191300622605217
100% Corpus,7,asymmetric,0.61,0.4562600416285303
100% Corpus,7,asymmetric,0.9099999999999999,0.42984201656051824
100% Corpus,7,asymmetric,symmetric,0.3989248028964506
100% Corpus,8,0.01,0.01,0.3606507901224302
100% Corpus,8,0.01,0.31,0.3597889175691621
100% Corpus,8,0.01,0.61,0.3948486407801742
100% Corpus,8,0.01,0.9099999999999999,0.4126296750444676
100% Corpus,8,0.01,symmetric,0.3687428010132341
100% Corpus,8,0.31,0.01,0.3937434501464968
100% Corpus,8,0.31,0.31,0.41430208261512874
100% Corpus,8,0.31,0.61,0.3624183980116026
100% Corpus,8,0.31,0.9099999999999999,0.35517540314519425
100% Corpus,8,0.31,symmetric,0.35740862137798357
100% Corpus,8,0.61,0.01,0.4244583526858008
100% Corpus,8,0.61,0.31,0.39564864160025126
100% Corpus,8,0.61,0.61,0.4152179181854886
100% Corpus,8,0.61,0.9099999999999999,0.3713646227170502
100% Corpus,8,0.61,symmetric,0.3729472469702041
100% Corpus,8,0.9099999999999999,0.01,0.4536417946964066
100% Corpus,8,0.9099999999999999,0.31,0.37878723895932664
100% Corpus,8,0.9099999999999999,0.61,0.3583034348483366
100% Corpus,8,0.9099999999999999,0.9099999999999999,0.5189118091094325
100% Corpus,8,0.9099999999999999,symmetric,0.3689876675693691
100% Corpus,8,symmetric,0.01,0.364766493116485
100% Corpus,8,symmetric,0.31,0.39014968658409077
100% Corpus,8,symmetric,0.61,0.38291461485821043
100% Corpus,8,symmetric,0.9099999999999999,0.33692440893815717
100% Corpus,8,symmetric,symmetric,0.3262866939899879
100% Corpus,8,asymmetric,0.01,0.30763915948272136
100% Corpus,8,asymmetric,0.31,0.42610681171585474
100% Corpus,8,asymmetric,0.61,0.41394990510344426
100% Corpus,8,asymmetric,0.9099999999999999,0.35691497242108433
100% Corpus,8,asymmetric,symmetric,0.38485157799357544
100% Corpus,9,0.01,0.01,0.38264062453418407
100% Corpus,9,0.01,0.31,0.4141118566342331
100% Corpus,9,0.01,0.61,0.3332870042334364
100% Corpus,9,0.01,0.9099999999999999,0.3347903299893786
100% Corpus,9,0.01,symmetric,0.404464374258045
100% Corpus,9,0.31,0.01,0.42160195172082054
100% Corpus,9,0.31,0.31,0.3734707639523118
